Nom,Adresse,Téléphone,Avis,Note,equipement
Maison Delano Paris,"4 Rue D'anjou, 75008 Paris France",Non disponible,24,"4,5","Internet haut débit gratuit (Wi-Fi)Bar/loungeRestaurant, Climatisation"
Hôtel Malte - Astotel,"63 rue de Richelieu, 75002 Paris France",01 44 58 94 94,2877,"5,0","Internet haut débit gratuit (Wi-Fi)Petit-déjeuner disponibleBabysittingService de taxiSécurité 24 heures sur 24ConsigneRéception 24 heures sur 24Nettoyage à secWi-FiCafé soluble gratuitThé offertSnack-barMenus spéciauxConciergePresse quotidienneHôtel non-fumeurService de blanchisserieService de repassage, Chambre hypoallergéniqueRideaux occultantsClimatisationBureauService de ménageMinibarTélévision à écran platBaignoire/doucheChambres insonoriséesPeignoirsCoffre-fortTéléphoneEau en bouteilleService de réveil/réveil-matinBouilloire électriqueProduits de toilette gratuitsSèche-cheveux, Chambres non-fumeursChambres familiales"
Hôtel Astoria - Astotel,"42 Rue De Moscou 8th Arr., 75008 Paris France",01 42 93 63 53,2376,"4,5","Internet haut débit gratuit (Wi-Fi)Petit-déjeuner disponibleService de taxiSécurité 24 heures sur 24ConsigneRéception 24 heures sur 24Nettoyage à secService de blanchisserieWi-FiCafé soluble gratuitThé offertBuffet adapté aux enfantsSnack-barMenus spéciauxConciergeHôtel non-fumeurService de repassage, Chambre hypoallergéniqueRideaux occultantsClimatisationBureauService de ménageMinibarTélévision à écran platBaignoire/doucheChambres insonoriséesCoffre-fortTéléphoneEau en bouteilleService de réveil/réveil-matinBouilloire électriqueProduits de toilette gratuitsSèche-cheveux, Chambres non-fumeursChambres familiales"
Novotel Paris Les Halles,"8 Place Marguerite de Navarre, 75001 Paris France",01 42 21 31 31,7010,"4,5","Parking privé payant à proximitéInternet haut débit gratuit (Wi-Fi)Centre de remise en forme/Salle de sportBar/loungeBabysittingLivres, DVD, musique pour les enfantsAnimaux domestiques autorisés (Chien/Animaux de compagnie)Service de taxiParkingWi-FiCours de yogaSalle de yogaVestiaires du spa/centre de remise en formeCaféRestaurantPetit-déjeuner disponiblePetit déjeuner buffetPetit-déjeuner dans la chambreCafé soluble gratuitThé offertBuffet adapté aux enfantsMenus pour les enfantsSalle à manger extérieureSnack-barMenus spéciauxAire de jeux pour les enfantsChaînes de télévision pour enfantsAire de jeux intérieure pour les enfantsActivités pour les enfants (Enfants/Pour les familles)Clubs pour enfantsChaises hautes disponiblesPoussettesCentre d'affaires avec accès InternetSalles de conférenceSalle de réceptionSalles de réunionSécurité 24 heures sur 24ConsigneConciergeChange des devisesPresse quotidienneHôtel non-fumeurMobilier d'extérieurPortierTrousse de premiers soinsArrivée 24 heures sur 24Réception 24 heures sur 24Arrivée/départ expressNettoyage à secService de blanchisserieService de repassageCirage, Chambre hypoallergéniqueRideaux occultantsClimatisationBureauCafetière/théièreTélévision à écran platLits extra longsDouche à l'italienneChambres insonoriséesPeignoirsService de ménageChambres communicantes disponiblesService en chambreCoffre-fortCanapéTéléphoneÉquipements de chambre VIPPenderie/armoirePenderieFer à repasserCoffre pour ordinateur portableService de réveil/réveil-matinMinibarRéfrigérateurBouilloire électriqueFilms à la demandeCanapé-litBaignoire/doucheProduits de toilette gratuitsSèche-cheveux, Vue sur la villeSuite nuptialeChambres non-fumeursSuitesChambres familiales"
Hôtel La Comtesse,"29 Avenue De Tourville, 75007 Paris France",Non disponible,960,"4,5","Parking privé payant à proximitéInternet haut débit gratuit (Wi-Fi)Centre de remise en forme/Salle de sportBar/loungeBabysittingChaînes de télévision pour enfantsNavette aéroportCentre d'affaires avec accès InternetParking dans la rueWi-FiCaféRestaurantPetit-déjeuner disponiblePetit déjeuner buffetPetit-déjeuner dans la chambreCafé soluble gratuitThé offertSnack-barVin/champagneService de taxiSécurité 24 heures sur 24ConsigneConciergeChange des devisesPresse quotidienneHôtel non-fumeurArrivée 24 heures sur 24Réception 24 heures sur 24Arrivée/départ expressNettoyage à secService de blanchisserie, Rideaux occultantsChambres insonoriséesClimatisationBureauService de ménageCafetière/théièreTV par câble/satelliteProduits de toilette gratuitsBalcon privéService en chambreCoffre-fortTéléphonePenderie/armoirePenderieFer à repasserCoffre pour ordinateur portableSalles de bain privativesSol en marbre/carrelageService de réveil/réveil-matinMinibarTélévision à écran platFilms à la demandeRadioSèche-cheveux, Vue sur la villeVue sur un monumentChambres non-fumeursSuites"
La Maison Favart,"5, Rue de Marivaux 2nd Arr, 75002 Paris France",01 42 97 59 83,2228,"5,0","Parking public payant à proximitéInternet haut débit gratuit (Wi-Fi)Piscine intérieureCentre de remise en forme/Salle de sportPetit-déjeuner inclusChaises hautes disponiblesLocation de voituresCentre d'affaires avec accès InternetParking dans la rueWi-FiServiettes de plage/piscinePiscine chaufféeSaunaBar/loungePetit déjeuner buffetPetit-déjeuner dans la chambreCafé soluble gratuitBoisson de bienvenue offerteMenus spéciauxVin/champagneService de taxiSpaMassageSécurité 24 heures sur 24ConsigneConciergePresse quotidienneHôtel non-fumeurArrivée 24 heures sur 24Réception 24 heures sur 24Nettoyage à secService de blanchisserieService de repassage, Rideaux occultantsChambres insonoriséesClimatisationBureauService de ménageCafetière/théièreTV par câble/satelliteProduits de toilette gratuitsPeignoirsService en chambreCoffre-fortCanapéTéléphoneEau en bouteillePenderieCoffre pour ordinateur portableSalles de bain privativesSol en marbre/carrelageService de réveil/réveil-matinMinibarRéfrigérateurTélévision à écran platSèche-cheveux, Vue sur un monumentSuite nuptialeChambres non-fumeursSuitesChambres familiales"
Dandy Hôtel & Kitchen,"86 Rue Saint-Denis, 75001 Paris France",Non disponible,30,"4,5","Parking privé payant à proximitéInternet haut débit gratuit (Wi-Fi)JacuzziSaunaBar/loungeAnimaux domestiques autorisés (Chien/Animaux de compagnie)Services de navette/taxi gratuitsSpaGarageInternetRestaurantPetit-déjeuner disponiblePetit déjeuner buffetMenus spéciauxVin/champagneNavette aéroportService d'autobusService de taxiSoins du visageMassage des piedsMassage corporel completMassage des mainsMassage de la têteMassageMassage du couConsigneConciergeHôtel non-fumeurBalcon ensoleilléParasolArrivée 24 heures sur 24Réception 24 heures sur 24Service de blanchisserieBlanchisserie en libre-service, Chambre hypoallergéniqueRideaux occultantsClimatisationChambres communicantes disponiblesMinibarTV par câble/satelliteLits extra longsDouche à l'italiennePeignoirsBalcon privéTéléphonePenderie/armoireEau en bouteillePenderieFer à repasserService de réveil/réveil-matinBouilloire électriqueTélévision à écran platBain à remous, Vue sur la villeChambres non-fumeurs"
Hôtel Maison Mère,"7 Rue Mayran, 75009 Paris France",01 42 80 00 00,581,"5,0","Parking privé payant sur siteInternet haut débit gratuit (Wi-Fi)Centre de remise en forme/Salle de sportBar/loungeBabysittingLivres, DVD, musique pour les enfantsAnimaux domestiques autorisés (Chien/Animaux de compagnie)Service de taxiParking dans la rueWi-FiRestaurantPetit-déjeuner disponiblePetit déjeuner buffetPetit-déjeuner dans la chambreSnack-barVin/champagneChaînes de télévision pour enfantsChaises hautes disponiblesCentre d'affaires avec accès InternetPhotocopieur/fax dans le centre d'affairesConsigneBoutique de cadeauxHôtel non-fumeurArrivée 24 heures sur 24Réception 24 heures sur 24Arrivée/départ privéNettoyage à secService de blanchisserieService de repassage, Rideaux occultantsChambres insonoriséesClimatisationBureauCafetière/théièreTV par câble/satelliteCanapé-litBaignoire/doucheService de ménageChambres communicantes disponiblesBalcon privéService en chambreCoffre-fortTéléphonePenderie/armoireEau en bouteilleCoffre pour ordinateur portableSalles de bain privativesService de réveil/réveil-matinMinibarBouilloire électriqueTélévision à écran platFilms à la demandeRadioProduits de toilette gratuitsSèche-cheveux, Vue sur la villeChambres non-fumeursSuitesChambres familiales"
Generator Paris,"9-11 Place du Colonel Fabien, 75010 Paris France",Non disponible,3135,"4,0","Internet haut débit gratuit (Wi-Fi)Bar/loungeSalle de jeuxDivertissements le soirTerrasse sur le toitSécurité 24 heures sur 24Arrivée 24 heures sur 24Réception 24 heures sur 24Wi-FiCaféRestaurantPetit déjeuner buffetSnack-barDistributeur automatiqueBar sur le toitDiscothèque/DJConsigneHôtel non-fumeurSalle de bain communeSalon commun/espace TVBalcon ensoleilléService de blanchisserieBlanchisserie en libre-service, ClimatisationService de ménageBaignoire/douche, Vue sur la villeChambres non-fumeursChambres familiales"
Best Western Plus La Demeure,"51 Boulevard Saint-Marcel, 75013 Paris France",Non disponible,1019,"4,5","Parking privé payant à proximitéInternet haut débit gratuit (Wi-Fi)Vestiaires du spa/centre de remise en formePetit-déjeuner disponibleChaises hautes disponiblesAnimaux domestiques autorisés (Chien/Animaux de compagnie)Service de taxiSoins du visageParking sécuriséWi-FiSaunaPetit déjeuner buffetPetit-déjeuner dans la chambreCafé soluble gratuitThé offertMassage des piedsMassage corporel completMassage des mainsMassage de la têteManucureMassageMassage du couBain de vapeurSécurité 24 heures sur 24ConsigneConciergePresse quotidienneHôtel non-fumeurSalon commun/espace TVArrivée 24 heures sur 24Réception 24 heures sur 24Nettoyage à sec, Rideaux occultantsChambres insonoriséesClimatisationBureauService de ménageChambres communicantes disponiblesService en chambreTélévision à écran platCoffre-fortTéléphonePenderie/armoireEau en bouteillePenderieFer à repasserSalles de bain privatives, Vue sur la villeVue sur un monumentChambres non-fumeursSuitesChambres familiales"
